Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-05-24 00:00:00-04:00,114.67153375545772,114.67153375545772,107.57071685791016,107.57071685791016,200,0.0,0.0,0.0
2018-05-25 00:00:00-04:00,114.67154693603516,114.67154693603516,114.67154693603516,114.67154693603516,100,0.0,0.0,0.0
2018-05-29 00:00:00-04:00,114.67154693603516,114.67154693603516,114.67154693603516,114.67154693603516,0,0.0,0.0,0.0
2018-05-30 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,100,0.0,0.0,0.0
2018-05-31 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-01 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-04 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-05 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-06 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-07 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-08 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-11 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-12 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-13 00:00:00-04:00,117.75882720947266,117.75882720947266,117.75882720947266,117.75882720947266,0,0.0,0.0,0.0
2018-06-14 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.813,0.0,0.0
2018-06-15 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-18 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-19 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-20 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-21 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-22 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-25 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-26 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-27 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-28 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-06-29 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-02 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-03 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-05 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-06 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-09 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-10 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-11 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-12 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-13 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-16 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-17 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-18 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-19 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-20 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-23 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-24 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-25 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-26 00:00:00-04:00,118.48036193847656,118.48036193847656,118.48036193847656,118.48036193847656,0,0.0,0.0,0.0
2018-07-27 00:00:00-04:00,114.48665618896484,114.48665618896484,114.48665618896484,114.48665618896484,300,0.0,0.0,0.0
2018-07-30 00:00:00-04:00,114.48665618896484,114.48665618896484,114.48665618896484,114.48665618896484,0,0.0,0.0,0.0
2018-07-31 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,100,0.0,0.0,0.0
2018-08-01 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-02 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-03 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-06 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-07 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-08 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-09 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-10 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-13 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-14 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-15 00:00:00-04:00,123.36158752441406,123.36158752441406,123.36158752441406,123.36158752441406,0,0.0,0.0,0.0
2018-08-16 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,100,0.0,0.0,0.0
2018-08-17 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-20 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-21 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-22 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-23 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-24 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-27 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-28 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-29 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-30 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-08-31 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-04 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-05 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-06 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-07 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-10 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-11 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-12 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-13 00:00:00-04:00,122.8290786743164,122.8290786743164,122.8290786743164,122.8290786743164,0,0.0,0.0,0.0
2018-09-14 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.813,0.0,0.0
2018-09-17 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-18 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-19 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-20 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-21 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-24 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-25 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-26 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-27 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-09-28 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-10-01 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-10-02 00:00:00-04:00,123.55487060546875,123.55487060546875,123.55487060546875,123.55487060546875,0,0.0,0.0,0.0
2018-10-03 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,200,0.0,0.0,0.0
2018-10-04 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-05 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-08 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-09 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-10 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-11 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-12 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-15 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-16 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-17 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-18 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-19 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-22 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-23 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-24 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-25 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-26 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-29 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-10-30 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,100,0.0,0.0,0.0
2018-10-31 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-01 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-02 00:00:00-04:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-05 00:00:00-05:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-06 00:00:00-05:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-07 00:00:00-05:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-08 00:00:00-05:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-09 00:00:00-05:00,122.84069061279297,122.84069061279297,122.84069061279297,122.84069061279297,0,0.0,0.0,0.0
2018-11-12 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,100,0.0,0.0,0.0
2018-11-13 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-14 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-15 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-16 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-19 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-20 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-21 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-23 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-26 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-27 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-28 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-29 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-11-30 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-03 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-04 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-06 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-07 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-10 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-11 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-12 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-13 00:00:00-05:00,113.60086059570312,113.60086059570312,113.60086059570312,113.60086059570312,0,0.0,0.0,0.0
2018-12-14 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.813,0.0,0.0
2018-12-17 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-18 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-19 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-20 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-21 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-24 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-26 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-27 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-28 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2018-12-31 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-02 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-03 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-04 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-07 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-08 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,100,0.0,0.0,0.0
2019-01-09 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-10 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-11 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-14 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-15 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-16 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-17 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-18 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-22 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-23 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
2019-01-24 00:00:00-05:00,114.33132934570312,114.33132934570312,114.33132934570312,114.33132934570312,0,0.0,0.0,0.0
